,reviewTimeInHours,asin,average_overall,median_overall
2850,2012-10-15-00,B0002KZEAE,4.0,4.0
2851,2012-10-15-00,B000M23OQ8,2.0,2.0
2852,2012-10-16-00,B0002CZR3G,4.0,4.0
2853,2012-10-16-00,B0002F7K7Y,5.0,5.0
2854,2012-10-16-00,B0018TIADQ,4.0,4.0
2855,2012-10-16-00,B003VWJ2K8,5.0,5.0
2856,2012-10-17-00,B0002H0A3S,5.0,5.0
2857,2012-10-17-00,B0002Z2D08,1.0,1.0
2858,2012-10-17-00,B002HPMTZU,1.0,1.0
2859,2012-10-18-00,B000X31R2E,5.0,5.0
2860,2012-10-18-00,B00646MZHK,5.0,5.0
2861,2012-10-19-00,B0000AQRST,4.0,4.0
2862,2012-10-19-00,B0000AQRSU,4.0,4.0
2863,2012-10-19-00,B0002GXV2Q,3.0,3.0
2864,2012-10-19-00,B00154OJOI,3.0,3.0
2865,2012-10-19-00,B0018TAITA,4.0,4.0
2866,2012-10-19-00,B0018TIADQ,4.0,4.0
2867,2012-10-19-00,B003FW0IHA,5.0,5.0
2868,2012-10-19-00,B003VYBD58,5.0,5.0
2869,2012-10-19-00,B0064RIB9A,3.0,3.0
2870,2012-10-20-00,B0002F4VBM,5.0,5.0
2871,2012-10-20-00,B000OR2QX8,4.0,4.0
2872,2012-10-20-00,B000VBH2IG,5.0,5.0
2873,2012-10-20-00,B0016MJ1T2,2.0,2.0
2874,2012-10-20-00,B0058GZTVG,5.0,5.0
2875,2012-10-20-00,B008TNAG4A,4.0,4.0
2876,2012-10-21-00,B0002CZV82,3.0,3.0
2877,2012-10-21-00,B000CCIVCA,4.0,4.0
2878,2012-10-21-00,B001GD07SK,4.0,4.0
2879,2012-10-21-00,B003JJQMD8,5.0,5.0
2880,2012-10-21-00,B0040ZBI52,5.0,5.0
2881,2012-10-22-00,B0001FTVD6,5.0,5.0
2882,2012-10-23-00,B000S5V510,5.0,5.0
2883,2012-10-23-00,B00389KMQM,5.0,5.0
2884,2012-10-23-00,B004ZKIHVU,5.0,5.0
2885,2012-10-24-00,B0002GZBLU,5.0,5.0
2886,2012-10-24-00,B000EEHKVY,5.0,5.0
2887,2012-10-24-00,B000T9PE9E,5.0,5.0
2888,2012-10-24-00,B003JJQMD8,5.0,5.0
2889,2012-10-24-00,B003PC2XQE,5.0,5.0
2890,2012-10-24-00,B0043RZ9QQ,5.0,5.0
2891,2012-10-24-00,B0052FU602,4.0,4.0
2892,2012-10-25-00,B0002CZVXM,4.0,4.0
2893,2012-10-25-00,B000960KNW,1.0,1.0
2894,2012-10-25-00,B000UJFR4A,5.0,5.0
2895,2012-10-25-00,B001C9R5P6,4.0,4.0
2896,2012-10-25-00,B002AQNGIU,1.0,1.0
2897,2012-10-25-00,B002HPMTZU,5.0,5.0
2898,2012-10-25-00,B004M9CKVM,5.0,5.0
2899,2012-10-25-00,B004OU2IQG,1.0,1.0
2900,2012-10-25-00,B005DVF15A,4.0,4.0
2901,2012-10-25-00,B005NACC6M,3.0,3.0
2902,2012-10-26-00,B0002H0A3S,5.0,5.0
2903,2012-10-26-00,B0009G1E0K,5.0,5.0
2904,2012-10-26-00,B000CD1R84,5.0,5.0
2905,2012-10-26-00,B003BGO2OK,5.0,5.0
2906,2012-10-26-00,B00646MZHK,4.0,4.0
2907,2012-10-27-00,B0002E38B2,5.0,5.0
2908,2012-10-27-00,B000EELFTW,5.0,5.0
2909,2012-10-27-00,B000RW0GT6,5.0,5.0
2910,2012-10-27-00,B0015RIN6U,5.0,5.0
2911,2012-10-27-00,B003K16N0C,3.0,3.0
2912,2012-10-29-00,B0002CZVXM,5.0,5.0
2913,2012-10-29-00,B0002GMGYA,4.0,4.0
2914,2012-10-29-00,B0002OS9FC,5.0,5.0
2915,2012-10-29-00,B0009G1E0K,3.0,3.0
2916,2012-10-29-00,B005LYIW3W,5.0,5.0
2917,2012-10-29-00,B005OZE9SA,1.0,1.0
2918,2012-10-30-00,B001G3TJXO,5.0,5.0
2919,2012-10-30-00,B003Y3ASW0,5.0,5.0
2920,2012-10-31-00,B0002D0E8S,4.0,4.0
2921,2012-10-31-00,B000RKAFIU,5.0,5.0
2922,2012-10-31-00,B001HNE622,5.0,5.0
2923,2012-10-31-00,B00646MZHK,5.0,5.0
2924,2012-10-31-00,B008BPI2HE,4.0,4.0
2925,2012-11-01-00,B000UJFR4A,4.0,4.0
2926,2012-11-01-00,B000UJHHLQ,4.0,4.0
2927,2012-11-02-00,B0002CZZW4,5.0,5.0
2928,2012-11-02-00,B007Q27BH0,5.0,5.0
2929,2012-11-03-00,B0002D0CEO,5.0,5.0
2930,2012-11-03-00,B000P5OUCE,5.0,5.0
2931,2012-11-03-00,B008BPI2HE,4.0,4.0
2932,2012-11-03-00,B008GS9UNQ,4.0,4.0
2933,2012-11-04-00,B0002GXZK4,5.0,5.0
2934,2012-11-04-00,B0002H0KG0,5.0,5.0
2935,2012-11-04-00,B003AYNHGW,5.0,5.0
2936,2012-11-04-00,B003JJQMD8,5.0,5.0
2937,2012-11-05-00,B000XXBHA6,5.0,5.0
2938,2012-11-05-00,B002AQNGIU,4.0,4.0
2939,2012-11-05-00,B004OK17QS,5.0,5.0
2940,2012-11-05-00,B005LYIW3W,4.0,4.0
2941,2012-11-06-00,B0002MSQVQ,5.0,5.0
2942,2012-11-07-00,B0002E1G5C,5.0,5.0
2943,2012-11-07-00,B002HFC6P8,4.0,4.0
2944,2012-11-07-00,B003BFYDBS,5.0,5.0
2945,2012-11-07-00,B0042EZH6W,5.0,5.0
2946,2012-11-07-00,B004UJO41S,3.0,3.0
2947,2012-11-08-00,B0002CZVBE,3.0,3.0
2948,2012-11-08-00,B000TGSM6E,5.0,5.0
2949,2012-11-08-00,B000V4YFLA,3.0,3.0
2950,2012-11-08-00,B000Y60NFC,5.0,5.0
2951,2012-11-08-00,B003SZDFM4,2.0,2.0
2952,2012-11-08-00,B004FEGXDK,1.0,1.0
2953,2012-11-08-00,B004PFWYL4,4.0,4.0
2954,2012-11-08-00,B004ZKIHVU,5.0,5.0
2955,2012-11-08-00,B005EHILV4,4.0,4.0
2956,2012-11-08-00,B007Q28BHE,2.0,2.0
2957,2012-11-09-00,B0002DV7ZM,5.0,5.0
2958,2012-11-09-00,B0002HLL8G,4.0,4.0
2959,2012-11-09-00,B0033P1O6S,5.0,5.0
2960,2012-11-09-00,B00466HM28,3.0,3.0
2961,2012-11-09-00,B005AGGZ8K,3.0,3.0
2962,2012-11-10-00,B0002CZVK0,5.0,5.0
2963,2012-11-10-00,B0002H0A3S,5.0,5.0
2964,2012-11-10-00,B000VTPR08,5.0,5.0
2965,2012-11-10-00,B001PGXHX0,5.0,5.0
2966,2012-11-10-00,B00267OCTA,5.0,5.0
2967,2012-11-10-00,B002R2IUEW,5.0,5.0
2968,2012-11-10-00,B003VWJ2K8,5.0,5.0
2969,2012-11-10-00,B004FPEF84,5.0,5.0
2970,2012-11-11-00,B000EE8YPK,1.0,1.0
2971,2012-11-11-00,B000KIRT74,5.0,5.0
2972,2012-11-11-00,B001E3BSKS,5.0,5.0
2973,2012-11-11-00,B00646MZHK,4.0,4.0
2974,2012-11-12-00,B002AQNGIU,5.0,5.0
2975,2012-11-12-00,B003DVGVIS,3.0,3.0
2976,2012-11-12-00,B004FEGXDK,5.0,5.0
2977,2012-11-12-00,B005FKF1PY,4.0,4.0
2978,2012-11-13-00,B000CCJP4I,5.0,5.0
2979,2012-11-13-00,B000P5LVSK,5.0,5.0
2980,2012-11-13-00,B000RW0GT6,5.0,5.0
2981,2012-11-14-00,B001SC4I16,3.0,3.0
2982,2012-11-14-00,B003LZ2IT2,5.0,5.0
2983,2012-11-14-00,B00646MZHK,5.0,5.0
2984,2012-11-15-00,B003OG9NH8,5.0,5.0
2985,2012-11-16-00,B00004Y2UT,3.0,3.0
2986,2012-11-16-00,B0002E2Z8Y,4.0,4.0
2987,2012-11-16-00,B0002GYW4C,5.0,5.0
2988,2012-11-16-00,B0002H0A3S,5.0,5.0
2989,2012-11-16-00,B0009G1E0K,5.0,5.0
2990,2012-11-16-00,B000A6GTDG,5.0,5.0
2991,2012-11-16-00,B000PO30QM,5.0,5.0
2992,2012-11-16-00,B000SAC5PA,5.0,5.0
2993,2012-11-16-00,B0018TIADQ,5.0,5.0
2994,2012-11-16-00,B001MMYVZU,5.0,5.0
2995,2012-11-16-00,B0037M4CPM,4.0,4.0
2996,2012-11-16-00,B003B01QR2,5.0,5.0
2997,2012-11-16-00,B004FPEF84,4.0,4.0
2998,2012-11-17-00,B0002H0A3S,4.0,4.0
2999,2012-11-17-00,B000KIRT74,5.0,5.0
3000,2012-11-17-00,B000RNB720,4.0,4.0
3001,2012-11-17-00,B0016ZZKJO,5.0,5.0
3002,2012-11-17-00,B001DW6RJC,5.0,5.0
3003,2012-11-17-00,B001G3TJXO,5.0,5.0
3004,2012-11-17-00,B006Y2FUW6,5.0,5.0
3005,2012-11-18-00,B0002GXV3A,4.0,4.0
3006,2012-11-18-00,B003VWJ2K8,5.0,5.0
3007,2012-11-19-00,B0002F7K7Y,5.0,5.0
3008,2012-11-19-00,B0002GZLZQ,3.0,3.0
3009,2012-11-19-00,B0016MJ1T2,5.0,5.0
3010,2012-11-19-00,B0026RB0G8,5.0,5.0
3011,2012-11-20-00,B0000AQRSR,5.0,5.0
3012,2012-11-20-00,B0002CZSJY,5.0,5.0
3013,2012-11-20-00,B0002OOMU8,3.0,3.0
3014,2012-11-20-00,B000978D58,4.0,4.0
3015,2012-11-20-00,B000A6ASSS,5.0,5.0
3016,2012-11-20-00,B000KW2YEI,4.0,4.0
3017,2012-11-20-00,B0025V1REU,2.0,2.0
3018,2012-11-20-00,B003KQY8DQ,2.0,2.0
3019,2012-11-20-00,B005LYIW3W,5.0,5.0
3020,2012-11-20-00,B005PNXT6E,5.0,5.0
3021,2012-11-20-00,B0073XCYO2,5.0,5.0
3022,2012-11-20-00,B008GS9UNQ,5.0,5.0
3023,2012-11-20-00,B009O7CE5O,5.0,5.0
3024,2012-11-21-00,B0002D05FU,5.0,5.0
3025,2012-11-21-00,B0002D0CAI,5.0,5.0
3026,2012-11-21-00,B0002H0A3S,5.0,5.0
3027,2012-11-21-00,B000CZ0RLK,4.0,4.0
3028,2012-11-21-00,B000OY4WDI,4.0,4.0
3029,2012-11-21-00,B000PR3JEM,5.0,5.0
3030,2012-11-21-00,B000XXBHA6,5.0,5.0
3031,2012-11-21-00,B001M59AS0,5.0,5.0
3032,2012-11-21-00,B001W99HE8,5.0,5.0
3033,2012-11-21-00,B002NG7DEK,3.0,3.0
3034,2012-11-21-00,B004J27QXY,5.0,5.0
3035,2012-11-21-00,B004Z17008,5.0,5.0
3036,2012-11-21-00,B005M0TKL8,5.0,5.0
3037,2012-11-22-00,B0002D0CAI,5.0,5.0
3038,2012-11-22-00,B0002E5518,5.0,5.0
3039,2012-11-22-00,B0002M6CVC,5.0,5.0
3040,2012-11-22-00,B0007ORM0K,5.0,5.0
3041,2012-11-22-00,B0009G1E0K,5.0,5.0
3042,2012-11-22-00,B000J5UEGQ,4.0,4.0
3043,2012-11-22-00,B003VWKPHC,2.0,2.0
3044,2012-11-22-00,B005CERXFO,5.0,5.0
3045,2012-11-22-00,B0064RIB9A,1.0,1.0
3046,2012-11-22-00,B0073XCXHA,5.0,5.0
3047,2012-11-23-00,B0002D05FU,5.0,5.0
3048,2012-11-23-00,B0002E2XCW,5.0,5.0
3049,2012-11-23-00,B0002H0A3S,5.0,5.0
3050,2012-11-23-00,B000EELB8W,5.0,5.0
3051,2012-11-23-00,B001MMYVZU,5.0,5.0
3052,2012-11-23-00,B002HPMTZU,5.0,5.0
3053,2012-11-23-00,B003AAEGZ2,5.0,5.0
3054,2012-11-23-00,B003FVB7XA,5.0,5.0
3055,2012-11-23-00,B003VWJ2K8,5.0,5.0
3056,2012-11-23-00,B004U1QDL0,5.0,5.0
3057,2012-11-23-00,B004XNK7AI,4.0,4.0
3058,2012-11-23-00,B005J2PXV0,5.0,5.0
3059,2012-11-24-00,B0002IHFVM,5.0,5.0
3060,2012-11-24-00,B0002KZEMC,5.0,5.0
3061,2012-11-24-00,B0009K9MUA,4.0,4.0
3062,2012-11-24-00,B000RNB720,5.0,5.0
3063,2012-11-24-00,B0010CAEFS,5.0,5.0
3064,2012-11-24-00,B0018TC3I4,5.0,5.0
3065,2012-11-24-00,B001L8MDMS,5.0,5.0
3066,2012-11-24-00,B005IVUWDG,4.0,4.0
3067,2012-11-25-00,B0002E1G5C,4.0,4.0
3068,2012-11-25-00,B0002GLCRC,5.0,5.0
3069,2012-11-25-00,B000VTPQWW,5.0,5.0
3070,2012-11-26-00,B0002D0E8S,4.0,4.0
3071,2012-11-26-00,B0002GLCRC,5.0,5.0
3072,2012-11-26-00,B0002GOJZO,2.0,2.0
3073,2012-11-26-00,B0002H0A3S,4.0,4.0
3074,2012-11-26-00,B00095VIMU,2.0,2.0
3075,2012-11-26-00,B000H2BC4E,5.0,5.0
3076,2012-11-26-00,B000KITQKM,4.0,4.0
3077,2012-11-26-00,B0015RIN6U,5.0,5.0
3078,2012-11-26-00,B001LJUVO4,5.0,5.0
3079,2012-11-26-00,B002M8EEW8,4.0,4.0
3080,2012-11-26-00,B003AAEGZ2,5.0,5.0
3081,2012-11-26-00,B004HJ9COU,5.0,5.0
3082,2012-11-26-00,B004OU2IQG,5.0,5.0
3083,2012-11-26-00,B008IYUF96,3.0,3.0
3084,2012-11-26-00,B009E3EWPI,5.0,5.0
3085,2012-11-27-00,B0002E3A8S,5.0,5.0
3086,2012-11-27-00,B0002F7IN0,5.0,5.0
3087,2012-11-27-00,B0002GYW4C,5.0,5.0
3088,2012-11-27-00,B002PMHAVS,4.0,4.0
3089,2012-11-28-00,B0002E1O2M,5.0,5.0
3090,2012-11-28-00,B0002E1O90,5.0,5.0
3091,2012-11-28-00,B000EEHKVY,5.0,5.0
3092,2012-11-28-00,B004OK17QS,5.0,5.0
3093,2012-11-29-00,B0002D0CEO,5.0,5.0
3094,2012-11-29-00,B0002D0CNA,5.0,5.0
3095,2012-11-29-00,B0002E4Z8M,5.0,5.0
3096,2012-11-29-00,B0002PBS6S,5.0,5.0
3097,2012-11-29-00,B001PGXHX0,5.0,5.0
3098,2012-11-29-00,B0037ME50Y,5.0,5.0
3099,2012-11-29-00,B0044R1M0M,5.0,5.0
3100,2012-11-30-00,B0002D01PY,5.0,5.0
3101,2012-11-30-00,B0002E1G5C,5.0,5.0
3102,2012-11-30-00,B0002E2XCW,5.0,5.0
3103,2012-11-30-00,B0002F7K7Y,5.0,5.0
3104,2012-11-30-00,B000EELBQ4,4.0,4.0
3105,2012-11-30-00,B000F3JO7M,4.0,4.0
3106,2012-11-30-00,B001AH83UG,4.0,4.0
3107,2012-11-30-00,B001J1SX94,3.0,3.0
3108,2012-11-30-00,B002CMLPYY,4.0,4.0
3109,2012-11-30-00,B003VWKPHC,4.5,4.5
3110,2012-11-30-00,B0042EZH6W,5.0,5.0
3111,2012-11-30-00,B004XNK7AI,5.0,5.0
3112,2012-11-30-00,B005FKF3L6,5.0,5.0
3113,2012-11-30-00,B005PNXT6E,5.0,5.0
3114,2012-12-01-00,B000068O59,5.0,5.0
3115,2012-12-01-00,B0002CZST4,5.0,5.0
3116,2012-12-01-00,B0002E1G5C,4.0,4.0
3117,2012-12-01-00,B0002E5266,4.0,4.0
3118,2012-12-01-00,B0002GXF8Q,5.0,5.0
3119,2012-12-01-00,B0002M6CVC,5.0,5.0
3120,2012-12-01-00,B000A1HU1G,5.0,5.0
3121,2012-12-01-00,B000CD1R7K,5.0,5.0
3122,2012-12-01-00,B000N5YEDG,4.0,4.0
3123,2012-12-01-00,B000ZJTPLG,2.0,2.0
3124,2012-12-01-00,B0018TIADQ,5.0,5.0
3125,2012-12-01-00,B001RNHE30,5.0,5.0
3126,2012-12-01-00,B001XJBWXG,5.0,5.0
3127,2012-12-01-00,B0037GXRHM,4.0,4.0
3128,2012-12-01-00,B003VWJ2K8,5.0,5.0
3129,2012-12-01-00,B004FPEF84,3.0,3.0
3130,2012-12-01-00,B005MR6IHK,5.0,5.0
3131,2012-12-02-00,B003VWKPHC,5.0,5.0
3132,2012-12-03-00,B0002CZTIO,5.0,5.0
3133,2012-12-03-00,B0002E1NQE,5.0,5.0
3134,2012-12-03-00,B0002E1O7W,5.0,5.0
3135,2012-12-03-00,B000A6ASSS,4.0,4.0
3136,2012-12-03-00,B003B01QL8,4.0,4.0
3137,2012-12-03-00,B003HGFRO8,4.0,4.0
3138,2012-12-03-00,B003JJQMD8,5.0,5.0
3139,2012-12-04-00,B0002F73YY,5.0,5.0
3140,2012-12-04-00,B0002GX5NG,5.0,5.0
3141,2012-12-04-00,B0002GXZK4,5.0,5.0
3142,2012-12-04-00,B00064TZYW,4.0,4.0
3143,2012-12-04-00,B0006H92QK,5.0,5.0
3144,2012-12-04-00,B000VJZOLK,5.0,5.0
3145,2012-12-04-00,B003VWJ2K8,5.0,5.0
3146,2012-12-04-00,B007T8OGLK,5.0,5.0
3147,2012-12-05-00,B0002CZVBE,5.0,5.0
3148,2012-12-05-00,B0002DV7ZM,4.0,4.0
3149,2012-12-05-00,B0002E1NNM,5.0,5.0
3150,2012-12-05-00,B0002F7K7Y,5.0,5.0
3151,2012-12-05-00,B000EEHDIE,5.0,5.0
3152,2012-12-05-00,B000EEJJI6,5.0,5.0
3153,2012-12-05-00,B000J5Y214,5.0,5.0
3154,2012-12-05-00,B000KW2YEI,5.0,5.0
3155,2012-12-05-00,B000NJ2TIE,5.0,5.0
3156,2012-12-05-00,B000RNB720,5.0,5.0
3157,2012-12-05-00,B000VJJQUU,5.0,5.0
3158,2012-12-05-00,B000Y35C8S,4.0,4.0
3159,2012-12-05-00,B0037M4CPM,4.0,4.0
3160,2012-12-05-00,B003B0I09Y,5.0,5.0
3161,2012-12-05-00,B003VWJ2K8,5.0,5.0
3162,2012-12-05-00,B003VWKPHC,5.0,5.0
3163,2012-12-05-00,B004GYOZ6G,5.0,5.0
3164,2012-12-05-00,B005SUS1JO,5.0,5.0
3165,2012-12-05-00,B005TO9EPY,5.0,5.0
3166,2012-12-05-00,B0073XCYO2,5.0,5.0
3167,2012-12-06-00,B0002CZSJO,5.0,5.0
3168,2012-12-06-00,B0002CZVXM,5.0,5.0
3169,2012-12-06-00,B0002E1G5C,5.0,5.0
3170,2012-12-06-00,B0002F58TG,5.0,5.0
3171,2012-12-06-00,B0002GWFEQ,5.0,5.0
3172,2012-12-06-00,B0002H0A3S,5.0,5.0
3173,2012-12-06-00,B0006NDF8A,5.0,5.0
3174,2012-12-06-00,B000P5OULA,5.0,5.0
3175,2012-12-06-00,B000SAC5PA,5.0,5.0
3176,2012-12-06-00,B000VUNEZM,4.0,4.0
3177,2012-12-06-00,B0010GNU9Q,3.0,3.0
3178,2012-12-06-00,B00154OJOI,5.0,5.0
3179,2012-12-06-00,B004FPEF84,5.0,5.0
3180,2012-12-06-00,B007XH9432,5.0,5.0
3181,2012-12-07-00,B0002D0CEO,5.0,5.0
3182,2012-12-07-00,B0002E1O2C,5.0,5.0
3183,2012-12-07-00,B0002H0A3S,5.0,5.0
3184,2012-12-07-00,B0002T67J2,5.0,5.0
3185,2012-12-07-00,B000OMG0KI,5.0,5.0
3186,2012-12-07-00,B000RNB720,5.0,5.0
3187,2012-12-07-00,B004N6RBWW,5.0,5.0
3188,2012-12-07-00,B005F3H6Q8,5.0,5.0
3189,2012-12-08-00,B000068NSX,4.0,4.0
3190,2012-12-08-00,B000OR88JE,4.0,4.0
3191,2012-12-08-00,B0013PU75Y,5.0,5.0
3192,2012-12-08-00,B0023BYDHK,5.0,5.0
3193,2012-12-08-00,B003VWJ2K8,5.0,5.0
3194,2012-12-09-00,B0002CZUUG,5.0,5.0
3195,2012-12-09-00,B0002D0CAI,5.0,5.0
3196,2012-12-09-00,B0002E38B2,5.0,5.0
3197,2012-12-09-00,B000EPVXWU,5.0,5.0
3198,2012-12-09-00,B004GYOZ6G,5.0,5.0
3199,2012-12-09-00,B00646MZHK,5.0,5.0
3200,2012-12-10-00,B0002D0CEO,5.0,5.0
3201,2012-12-10-00,B0002GLCRC,5.0,5.0
3202,2012-12-10-00,B0002KZFYE,5.0,5.0
3203,2012-12-10-00,B0006ZXFWO,1.0,1.0
3204,2012-12-10-00,B003AAEGZ2,5.0,5.0
3205,2012-12-11-00,B0002CZVWS,5.0,5.0
3206,2012-12-11-00,B0002CZW0Y,4.0,4.0
3207,2012-12-11-00,B0002M3OVI,5.0,5.0
3208,2012-12-11-00,B0006H92QK,5.0,5.0
3209,2012-12-11-00,B0009IEB0I,5.0,5.0
3210,2012-12-11-00,B000EEJ8IM,4.0,4.0
3211,2012-12-11-00,B000OY707S,4.0,4.0
3212,2012-12-11-00,B000Y35C8S,3.0,3.0
3213,2012-12-11-00,B001EW5YQS,4.0,4.0
3214,2012-12-11-00,B001MMYVZU,5.0,5.0
3215,2012-12-12-00,B0002CZSJY,5.0,5.0
3216,2012-12-12-00,B0002E1G5C,2.0,2.0
3217,2012-12-12-00,B0002F519I,5.0,5.0
3218,2012-12-12-00,B000KIPT30,5.0,5.0
3219,2012-12-12-00,B000KW2YEI,1.0,1.0
3220,2012-12-12-00,B000LAT0AK,5.0,5.0
3221,2012-12-12-00,B0010SHU18,4.0,4.0
3222,2012-12-12-00,B0018TIADQ,5.0,5.0
3223,2012-12-12-00,B003VWJ2K8,4.0,4.0
3224,2012-12-12-00,B004XNK7AI,4.0,4.0
3225,2012-12-12-00,B008O0RKVA,5.0,5.0
3226,2012-12-13-00,B0002D0L40,5.0,5.0
3227,2012-12-13-00,B0002E1G5C,5.0,5.0
3228,2012-12-13-00,B0002E2KPC,5.0,5.0
3229,2012-12-13-00,B0002F7IIK,5.0,5.0
3230,2012-12-13-00,B0002GLDQM,5.0,5.0
3231,2012-12-13-00,B0002Y6BJI,5.0,5.0
3232,2012-12-13-00,B000A6ASSS,5.0,5.0
3233,2012-12-13-00,B000A6GY1I,5.0,5.0
3234,2012-12-13-00,B000EELFTW,5.0,5.0
3235,2012-12-13-00,B000F3JO7M,5.0,5.0
3236,2012-12-13-00,B000NJ2TIE,4.0,4.0
3237,2012-12-13-00,B001AH83UG,4.0,4.0
3238,2012-12-13-00,B00378GEAM,4.0,4.0
3239,2012-12-13-00,B003K16N0C,5.0,5.0
3240,2012-12-13-00,B003VWJ2K8,5.0,5.0
3241,2012-12-13-00,B004ISLGKS,3.0,3.0
3242,2012-12-13-00,B004MM6RWM,5.0,5.0
3243,2012-12-13-00,B005CX4GLE,4.0,4.0
3244,2012-12-14-00,B000068NVI,4.0,4.0
3245,2012-12-14-00,B0002CZTIO,5.0,5.0
3246,2012-12-14-00,B0002D0CGC,5.0,5.0
3247,2012-12-14-00,B0002E1O2M,5.0,5.0
3248,2012-12-14-00,B0002E2XCW,5.0,5.0
3249,2012-12-14-00,B0002F7K7Y,5.0,5.0
3250,2012-12-14-00,B0002GXF8Q,5.0,5.0
3251,2012-12-14-00,B000A6GY1I,5.0,5.0
3252,2012-12-14-00,B000B6FBA2,4.0,4.0
3253,2012-12-14-00,B000CZ0RLK,5.0,5.0
3254,2012-12-14-00,B000EEJE4K,3.0,3.0
3255,2012-12-14-00,B000EELB8W,5.0,5.0
3256,2012-12-14-00,B000J5XS3C,4.0,4.0
3257,2012-12-14-00,B0018TIADQ,4.0,4.0
3258,2012-12-14-00,B00191WVF6,5.0,5.0
3259,2012-12-14-00,B001JI2KHS,1.0,1.0
3260,2012-12-14-00,B002HJ61PK,5.0,5.0
3261,2012-12-14-00,B002QKRUJG,5.0,5.0
3262,2012-12-14-00,B003VWJ2K8,5.0,5.0
3263,2012-12-14-00,B004BZU4OW,5.0,5.0
3264,2012-12-14-00,B004FPEF84,5.0,5.0
3265,2012-12-14-00,B005EHILV4,4.0,4.0
3266,2012-12-14-00,B0073XCXHA,4.0,4.0
3267,2012-12-14-00,B007T8CUNG,4.0,4.0
3268,2012-12-15-00,B0002D0CEO,4.0,4.0
3269,2012-12-15-00,B000EEJ8IM,5.0,5.0
3270,2012-12-15-00,B000T4SI1K,5.0,5.0
3271,2012-12-15-00,B000XUUXB8,5.0,5.0
3272,2012-12-15-00,B001LJUVO4,3.0,3.0
3273,2012-12-15-00,B003SZDFM4,5.0,5.0
3274,2012-12-15-00,B004TQJ174,5.0,5.0
3275,2012-12-15-00,B0073XCXHA,5.0,5.0
3276,2012-12-16-00,B0006H92QK,5.0,5.0
3277,2012-12-16-00,B000EEK4VM,5.0,5.0
3278,2012-12-16-00,B000EPVXWU,5.0,5.0
3279,2012-12-16-00,B003SZDFM4,3.0,3.0
3280,2012-12-17-00,B0002CZW0Y,5.0,5.0
3281,2012-12-17-00,B0002D0096,5.0,5.0
3282,2012-12-17-00,B0002GML4U,5.0,5.0
3283,2012-12-17-00,B0002H0A3S,5.0,5.0
3284,2012-12-17-00,B0002ZPK5I,5.0,5.0
3285,2012-12-17-00,B000978D58,5.0,5.0
3286,2012-12-17-00,B0009K9MUA,5.0,5.0
3287,2012-12-17-00,B000XUUXB8,5.0,5.0
3288,2012-12-17-00,B00154OJOI,4.0,4.0
3289,2012-12-17-00,B001JI2KHS,5.0,5.0
3290,2012-12-17-00,B005TO9EPY,5.0,5.0
3291,2012-12-18-00,B0001FTVD6,5.0,5.0
3292,2012-12-18-00,B0002E2S36,5.0,5.0
3293,2012-12-18-00,B0002GX6V2,5.0,5.0
3294,2012-12-18-00,B0002GXV3A,5.0,5.0
3295,2012-12-18-00,B0002OOMU8,5.0,5.0
3296,2012-12-18-00,B0006NDF8A,5.0,5.0
3297,2012-12-18-00,B0006ZXFZQ,5.0,5.0
3298,2012-12-18-00,B0007OGTGS,5.0,5.0
3299,2012-12-18-00,B0009EQOES,5.0,5.0
3300,2012-12-18-00,B000BU5V58,5.0,5.0
3301,2012-12-18-00,B000K69V5E,5.0,5.0
3302,2012-12-18-00,B000T4SI1K,5.0,5.0
3303,2012-12-18-00,B000VOBU9U,5.0,5.0
3304,2012-12-18-00,B0016ZZKJO,5.0,5.0
3305,2012-12-18-00,B0050ALN2E,5.0,5.0
3306,2012-12-19-00,B000068O3X,4.0,4.0
3307,2012-12-19-00,B0002E52RU,5.0,5.0
3308,2012-12-19-00,B0002GMGYA,5.0,5.0
3309,2012-12-19-00,B0002GZLZQ,4.0,4.0
3310,2012-12-19-00,B0002GZM00,4.0,4.0
3311,2012-12-19-00,B0002KZAKS,5.0,5.0
3312,2012-12-19-00,B000RY68PA,5.0,5.0
3313,2012-12-19-00,B000S5V510,5.0,5.0
3314,2012-12-19-00,B00186L9X2,5.0,5.0
3315,2012-12-19-00,B0019QJW2G,5.0,5.0
3316,2012-12-19-00,B001RNH8YA,5.0,5.0
3317,2012-12-19-00,B002UXS4JO,5.0,5.0
3318,2012-12-19-00,B004LG93KC,4.0,4.0
3319,2012-12-19-00,B004M8UZS8,4.0,4.0
3320,2012-12-20-00,B0002D0CLC,5.0,5.0
3321,2012-12-20-00,B0002E1NNC,5.0,5.0
3322,2012-12-20-00,B0002E1O7M,5.0,5.0
3323,2012-12-20-00,B0002E37G8,5.0,5.0
3324,2012-12-20-00,B0002E4Z8M,5.0,5.0
3325,2012-12-20-00,B0002IHFVM,5.0,5.0
3326,2012-12-20-00,B0002OOMW6,4.0,4.0
3327,2012-12-20-00,B000UJFR4A,4.0,4.0
3328,2012-12-20-00,B0037M62JQ,5.0,5.0
3329,2012-12-20-00,B0037M62KA,5.0,5.0
3330,2012-12-20-00,B003DVGVIS,5.0,5.0
3331,2012-12-20-00,B004XNK7AI,2.5,2.5
3332,2012-12-20-00,B005PNXT6E,5.0,5.0
3333,2012-12-20-00,B009O7CE5O,5.0,5.0
